1117;1090
559;1066
370;1125
267;870
217;746
193;658
201;593
222;560
219;538
215;527
246;462
267;394
285;353
318;309
352;271
385;249
403;238
426;216
444;196
480;196
518;165
555;157
589;148
628;140
650;128
680;137
695;143
708;163
709;160
719;180
708;184
701;197
690;199
686;210
678;218
647;225
651;228
659;209
654;217
637;215
610;237
595;251
590;271
569;262
577;252
550;234
561;242
554;216
573;208
566;198
576;203
575;192
583;196
603;181
608;177
626;167
634;163
646;183
648;176
658;201
656;197
661;195
653;191
661;193
669;185
659;192
662;199
652;205
629;212
611;214
610;210
601;199
604;200
593;197
605;192
604;177
619;190
620;187
643;181
651;161
654;177
645;170
643;169
662;167
668;168
674;165
689;165
718;148
746;149
758;146
770;143
771;155
765;157
774;162
776;162
768;190
768;176
765;162
778;172
766;168
760;175
746;175
733;176
729;170
726;161
714;175
733;166
741;149
735;160
733;168
733;158
749;139
753;128
780;137
789;127
793;152
788;157
775;167
775;169
769;168
773;170
772;166
778;167
768;175
742;185
726;203
698;202
680;213
662;202
640;204
615;204
609;191
606;190
610;195
622;177
637;157
655;141
670;128
698;114
734;104
772;93
791;94
825;103
853;94
886;99
887;112
885;127
875;133
859;155
847;171
818;181
783;183
771;182
752;175
746;183
723;179
694;202
686;195
683;180
662;182
661;189
669;168
666;161
657;166
662;168
682;153
696;145
708;134
734;125
751;120
774;113
788;126
792;139
780;155
763;162
758;165
744;167
734;160
726;169
715;163
693;166
693;182
700;160
696;145
711;143
719;148
709;143
723;136
754;119
767;111
788;101
804;102
819;98
840;103
857;101
859;109
879;116
883;125
875;137
872;154
840;162
845;168
827;157
771;169
745;176
727;162
700;174
676;187
678;171
677;137
706;135
720;120
748;115
749;109
761;117
788;117
808;111
810;114
830;119
835;118
855;123
839;120
839;138
844;141
823;140
813;132
817;149
815;154
802;159
789;169
768;173
736;185
726;182
709;179
695;177
676;183
671;176
665;166
671;166
668;153
664;144
677;131
693;122
700;119
726;109
739;111
761;111
789;110
809;125
809;125
813;130
819;129
838;132
856;124
878;112
882;123
875;138
859;140
862;143
860;141
871;138
869;129
869;139
867;132
867;137
870;143
849;143
852;143
842;134
825;140
804;160
800;156
787;156
780;150
765;147
747;154
724;160
723;171
714;167
711;161
705;150
699;146
713;133
724;129
736;127
758;105
779;101
791;110
821;117
843;118
859;112
883;102
904;102
905;106
919;120
929;112
939;119
944;120
933;131
919;151
881;160
853;170
838;168
822;173
814;167
803;165
800;163
785;150
758;159
739;171
739;169
733;161
715;165
720;152
702;137
706;139
715;125
731;123
731;112
744;116
759;115
769;124
777;122
774;136
760;145
759;154
761;152
781;137
792;122
808;117
831;97
860;96
879;85
897;92
905;102
921;112
924;112
936;120
912;132
894;137
883;143
872;160
846;168
816;184
793;174
779;163
766;166
760;163
737;148
722;155
721;156
706;153
711;158
716;140
726;147
720;136
720;158
728;144
731;142
740;141
731;143
726;141
738;139
749;111
745;112
757;114
776;114
802;100
811;109
825;124
830;128
832;121
836;132
826;133
814;144
808;139
797;147
801;149
805;138
822;129
814;128
818;131
808;137
802;156
775;145
776;142
758;149
748;160
733;162
740;160
723;163
716;163
721;166
711;150
716;153
697;148
682;151
687;145
706;134
722;126
725;115
739;119
758;114
786;102
800;99
821;97
847;93
876;85
886;90
886;101
888;116
883;121
882;136
872;143
872;145
857;151
842;150
820;151
805;159
772;182
744;181
718;195
691;188
687;169
675;152
679;158
684;141
700;149
708;127
716;133
725;127
736;122
760;127
763;118
779;121
794;116
807;117
824;116
836;124
842;123
849;124
849;128
857;134
861;129
850;140
832;160
812;155
792;156
773;155
749;173
730;186
719;173
716;158
706;147
716;148
712;128
733;135
750;133
758;116
761;120
771;123
792;110
802;120
802;131
810;139
822;130
823;127
811;135
811;142
802;148
791;148
786;153
775;144
772;150
775;136
779;141
789;132
796;134
798;132
803;139
812;141
809;134
799;145
786;170
750;180
728;182
719;172
724;153
717;144
725;143
734;125
736;152
725;152
727;145
730;146
734;151
732;139
745;143
