size,operation,time
500000,dot product,4.8406e-5
500000,dot product,4.1297e-5
500000,dot product,4.1187e-5
500000,dot product,4.1174e-5
500000,dot product,4.1033e-5
500000,dot product,4.0985e-5
500000,dot product,4.1032e-5
500000,dot product,4.0864e-5
500000,dot product,4.0777e-5
500000,dot product,4.0788e-5
5000,matrix multiplication,0.008757238
5000,matrix multiplication,0.008973915
5000,matrix multiplication,0.009576756
5000,matrix multiplication,0.008747125
5000,matrix multiplication,0.008748314
5000,matrix multiplication,0.009040794
5000,matrix multiplication,0.008767683
5000,matrix multiplication,0.008727434
5000,matrix multiplication,0.008729028
5000,matrix multiplication,0.008711515
600000,dot product,6.5735e-5
600000,dot product,4.7604e-5
600000,dot product,4.8786e-5
600000,dot product,7.9586e-5
600000,dot product,4.8732e-5
600000,dot product,4.7405e-5
600000,dot product,4.8311e-5
600000,dot product,4.8611e-5
600000,dot product,4.8399e-5
600000,dot product,4.7432e-5
6000,matrix multiplication,0.012898919
6000,matrix multiplication,0.012704914
6000,matrix multiplication,0.012585055
6000,matrix multiplication,0.012641569
6000,matrix multiplication,0.012522177
6000,matrix multiplication,0.01266051
6000,matrix multiplication,0.01305689
6000,matrix multiplication,0.012916508
6000,matrix multiplication,0.01274894
6000,matrix multiplication,0.01268323
700000,dot product,7.8379e-5
700000,dot product,5.8662e-5
700000,dot product,5.6047e-5
700000,dot product,5.5469e-5
700000,dot product,5.7438e-5
700000,dot product,5.6739e-5
700000,dot product,5.5487e-5
700000,dot product,5.5434e-5
700000,dot product,8.2518e-5
700000,dot product,5.5801e-5
7000,matrix multiplication,0.017077702
7000,matrix multiplication,0.017127433
7000,matrix multiplication,0.017065457
7000,matrix multiplication,0.017363704
7000,matrix multiplication,0.017696418
7000,matrix multiplication,0.017144642
7000,matrix multiplication,0.017176681
7000,matrix multiplication,0.017136352
7000,matrix multiplication,0.017050095
7000,matrix multiplication,0.017334383
800000,dot product,0.000203665
800000,dot product,0.000155648
800000,dot product,7.8225e-5
800000,dot product,6.5073e-5
800000,dot product,6.5162e-5
800000,dot product,6.3594e-5
800000,dot product,6.4072e-5
800000,dot product,6.5635e-5
800000,dot product,6.3529e-5
800000,dot product,6.352e-5
8000,matrix multiplication,0.023058361
8000,matrix multiplication,0.022982761
8000,matrix multiplication,0.023548531
8000,matrix multiplication,0.022748218
8000,matrix multiplication,0.022820084
8000,matrix multiplication,0.022739864
8000,matrix multiplication,0.023386257
8000,matrix multiplication,0.022538222
8000,matrix multiplication,0.022388461
8000,matrix multiplication,0.022370745
900000,dot product,0.000192327
900000,dot product,0.0001432
900000,dot product,0.000139203
900000,dot product,0.000136907
900000,dot product,0.000127368
900000,dot product,0.000125675
900000,dot product,0.000130311
900000,dot product,0.000129652
900000,dot product,0.00013489
900000,dot product,0.000134692
9000,matrix multiplication,0.029783909
9000,matrix multiplication,0.028456361
9000,matrix multiplication,0.028338509
9000,matrix multiplication,0.029967971
9000,matrix multiplication,0.029122017
9000,matrix multiplication,0.028428855
9000,matrix multiplication,0.029306312
9000,matrix multiplication,0.028563714
9000,matrix multiplication,0.028447516
9000,matrix multiplication,0.029668691
1000000,dot product,0.000274022
1000000,dot product,0.000170087
1000000,dot product,0.000137698
1000000,dot product,0.000134667
1000000,dot product,0.000126923
1000000,dot product,0.000119253
1000000,dot product,0.00011735
1000000,dot product,0.000116267
1000000,dot product,0.000112663
1000000,dot product,0.000112131
10000,matrix multiplication,0.036700434
10000,matrix multiplication,0.035285271
10000,matrix multiplication,0.035233442
10000,matrix multiplication,0.037095529
10000,matrix multiplication,0.035461332
10000,matrix multiplication,0.035264251
10000,matrix multiplication,0.037048423
10000,matrix multiplication,0.035275534
10000,matrix multiplication,0.035586923
10000,matrix multiplication,0.036902818
1100000,dot product,0.000346649
1100000,dot product,0.000246965
1100000,dot product,0.000214538
1100000,dot product,0.000177458
